Date,Title,Attack Type,Industry,Actor,Motivation,Tactic,Technique,Technique ID,Procedure,Link,Quarter,Source
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,Steal or Forge Authentication Certificates,T1649,"The CISA team used Certipy to enumerate the ADCS certificate template vulnerabilities, allowing them to obtain certificates for different users.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,OS Credential Dumping,T1003,The CISA team retrieved the NTLM hash for ACCOUNT 3.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,Use Alternate Authentication Material: Pass the Hash,T1550.002,"The CISA team used the hash to authenticate to the domain controller and validated Domain Administrator privileges, demonstrating compromise of the domain.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,Brute Force: Password Spraying,T1110.003,"The CISA team used a tool called CrackMapExec to spray easily guessable passwords across all domain accounts, giving them two sets of valid credentials.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,Steal or Forge Kerberos Tickets,T1558,The CISA team used this certificate to acquire a TGT for ACCOUNT 5.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,OS Credential Dumping: DCSync,T1003.006,"The CISA team used DCSync to dump the NTLM hash for ACCOUNT 3 (a Domain Administrator account), effectively leading to domain compromise.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,OS Credential Dumping: Security Account Manager,T1003.002,The CISA team dumped password hashes from a Security Account Manager (SAM) database.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Discovery,Network Sniffing,T1040,The CISA team spoofed a response to direct the victim host to a CISA-controlled machine on which Responder is running. ,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Discovery,Account Discovery: Domain Account,T1087.002,The CISA team enumerated accounts with a Service Principal Name (SPN) set with their domain access.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Discovery,Network Service Scanning,T1046,The CISA team canned the organization’s network to identify open web ports to see where they could leverage the default credentials they had.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Lateral Movement,Remote Services,T1021,"The CISA team exploited its Responder to perform malicious functions, such as stealing credentials or opening a session on a targeted host.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Lateral Movement, SMB/Windows Admin Shares,T1021.002,"The CISA team confirmed they compromised the domain because ACCOUNT 1 had READ,WRITE permissions over the C$ administrative share.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Lateral Movement,Taint Shared Content,T1080,The CISA team found the device was configured with domain credentials to allow employees to save scanned documents to a network share.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Lateral Movement,Exploitation of Remote Services,T1210,The CISA team then executed a well-known EternalBlue exploit and established a shell on the server.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Collection,Data from Network Shared Drive,T1039,"The CISA team obtained credentials for cleartext, hashes, and from files.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Impact,System Shutdown/Reboot,T1529,"The CISA team assessed that with ACCOUNT 1, they could use it to modify, power off, and/or delete critical virtual machines, including domain controllers and file servers.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Initial Access,Exploit Public-Facing Application,T1190,Threat actors exploited two public-facing web servers running outdated versions of Adobe ColdFusion.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q4 2023,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Execution,Command and Scripting Interpreter: JavaScript,T1059.007,"In correlation with open source information, analysis determined d.jsp is a RAT that utilizes a JavaScript loader to infect the device and requires communication with the actor-controlled server to perform actions.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q1 2015,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Persistence,Server Software Component: Web Shell,T1505.003,Threat actors uploaded various web shells to enable remote code execution and to execute commands on compromised web servers.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q2 2015,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.", Privilege Escalation,Domain Policy Modification: Group Policy Modification,T1484.001,Threat actors attempted to edit SYSVOL on an agency domain controller to change policies.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q3 2015,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Defense Evasion,Masquerading: Match Legitimate Name or Location,T1036.005,"Threat actors inserted malicious code with the intent to extract username, password, and data source URLs into config.cfm—an expected configuration file in a standard installation of ColdFusion.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q4 2015,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Defense Evasion,Masquerading: Masquerade File Type,T1036.008,Threat actors used the .txt file extension to disguise malware files.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q1 2016,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Defense Evasion,Indicator Removal: File Deletion,T1070.004,Threat actors deleted files following upload to remove malicious indicators.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q2 2016,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Defense Evasion,Deobfuscate/Decode Files or Information,T1140,Threat actors used certutil to decode web shells hidden inside .txt files.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q3 2016,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Defense Evasion,Hide Artifacts: Hidden Files and Directories,T1564.001,Threat actors attempted to run attrib.exe to hide the newly created config.jsp web shell.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q4 2016,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Credential Access,OS Credential Dumping: LSASS Memory,T1003.001,Threat actors attempted to harvest user account credentials through LSASS memory dumping.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q1 2017,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Credential Access,OS Credential Dumping: Security Account Manager,T1003.002,Threat actors saved and compressed SAM information to .zip files.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q2 2017,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Discovery,System Network Configuration Discovery: Internet Connection Discovery,T1016.001,Threat actors periodically tested network connectivity by pinging Google’s DNS.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q3 2017,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Discovery,Network Service Discovery,T1046,"Threat actors scanned at least three subnets to gather network information using fscan.exe, to include administrative data for future exfiltration.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q4 2017,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Discovery,System Information Discovery,T1082,Threat actors collected information about the web server and its operating system.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q1 2018,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Discovery,File and Directory Discovery,T1083,Threat actors traversed and were able to search through folders on the victim’s web server filesystem. Additional reconnaissance efforts were conducted via searching for the .jsp files that were uploaded.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q2 2018,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Discovery,Account Discovery: Local Account,T1087.001,Threat actors collected information about local user accounts.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q3 2018,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Discovery,Account Discovery: Domain Account,T1087.002,"Threat actors collected information about domain users, including identification of domain admin accounts.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q4 2018,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Discovery,Domain Trust Discovery,T1482,Threat actors enumerated domain trusts to identify lateral movement opportunities.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q1 2019,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Discovery,Software Discovery,T1518,"Following initial access and enumeration, threat actors checked for the presence of ColdFusion version 2018 on the victim web server.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q2 2019,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Command and Control,Application Layer Protocol: Web Protocols,T1071.001,"Threat actors used HTTP POST requests to config.cfm, an expected configuration file in a standard installation of ColdFusion.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q3 2019,Australia
5-Dec-23,Threat Actors Exploit Adobe ColdFusion CVE-2023-26360 for Initial Access to Government Servers,Not Specified,Federal Civilian Executive Branch (FCEB) agency,Unidentified threat actors,"The motivation appears to be gaining unauthorized access, potentially for information gathering, as suggested by the reconnaissance activities described. No data exfiltration or lateral movement was confirmed.",Command and Control,Ingress Tool Transfer,T1105,Threat actors were able to upload malicious artifacts to the victim web server.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-339a,Q4 2019,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Reconnaissance,Gather Victim Identity Information,T1589,"Scattered Spider threat actors gather usernames, passwords, and PII for targeted organizations.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q1 2020,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Reconnaissance,Phishing for Information,T1598,"Scattered Spider threat actors use phishing to obtain login credentials, gaining access to a victim’s network.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q2 2020,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Resource Development,Acquire Infrastructure: Domains,T1583.001,Scattered Spider threat actors create domains for use in phishing and smishing attempts against targeted organizations.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q3 2020,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Resource Development,Establish Accounts: Social Media Accounts,T1585.001,Scattered Spider threat actors create fake social media profiles to backstop newly created user accounts in a targeted organization.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q4 2020,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Initial Access,Phishing,T1566,Scattered Spider threat actors use broad phishing attempts against a target to obtain information used to gain initial access.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q1 2021,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Initial Access,,,,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q2 2021,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Initial Access,,,Scattered Spider threat actors have posed as helpdesk personnel to direct employees to install commercial remote access tools.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q3 2021,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Initial Access,Phishing (Mobile),T1660,"Scattered Spider threat actors send SMS messages, known as smishing, when targeting a victim.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q4 2021,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Initial Access,Phishing: Spearphishing Voice,T1566.004,Scattered Spider threat actors use voice communications to convince IT help desk personnel to reset passwords and/or MFA tokens.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q1 2022,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Initial Access,Trusted Relationship,T1199,Scattered Spider threat actors abuse trusted relationships of contracted IT help desks to gain access to targeted organizations.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q2 2022,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Initial Access,Valid Accounts: Domain Accounts,T1078.002,Scattered Spider threat actors obtain access to valid domain accounts to gain initial access to a targeted organization.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q3 2022,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Execution,Serverless Execution,T1648,Scattered Spider threat actors use ETL tools to collect data in cloud environments.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q4 2022,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Execution,User Execution,T1204,Scattered Spider threat actors impersonating helpdesk personnel direct employees to run commercial remote access tools thereby enabling access to the victim’s network.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q1 2023,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Persistence,Persistence,TA0003,Scattered Spider threat actors seek to maintain persistence on a targeted organization’s network.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q2 2023,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Persistence,Create Account,T1136,Scattered Spider threat actors create new user identities in the targeted organization.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q3 2023,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Persistence,Modify Authentication Process: Multi-Factor Authentication,T1556.006,Scattered Spider threat actors may modify MFA tokens to gain access to a victim’s network.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q4 2023,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Persistence,Valid Accounts,T1078,Scattered Spider threat actors abuse and control valid accounts to maintain network access even when passwords are changed.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q1 2024,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Privilege Escalation,Privilege Escalation,TA0004,Scattered Spider threat actors escalate account privileges when on a targeted organization’s network.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q2 2024,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Privilege Escalation,Domain Policy Modification: Domain Trust Modification,T1484.002,Scattered Spider threat actors add a federated identify provider to the victim’s SSO tenant and activate automatic account linking.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q3 2024,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Defense Evasion,Modify Cloud Compute Infrastructure: Create Cloud Instance,T1578.002,Scattered Spider threat actors will create cloud instances for use during lateral movement and data collection.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q4 2024,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Defense Evasion,Impersonation,TA1656,"Scattered Spider threat actors pose as company IT and/or helpdesk staff to gain access to victim’s networks.

Scattered Spider threat actors use social engineering to convince IT help desk personnel to reset passwords and/or MFA tokens.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q1 2025,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Credential Access,Credential Access,TA0006,"Scattered Spider threat actors use tools, such as Raccoon Stealer, to obtain login credentials.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q2 2025,Australia
16-Nov-23,Scattered Spider,Ransomware,Commercial facilities sectors and subsectors,"Scattered Spider, also known as Starfraud, UNC3944, Scatter Swine, and Muddled Libra",Financial gain through data extortion and ransomware,Credential Access,Forge Web Credentials,T1606,Scattered Spider threat actors may forge MFA tokens to gain access to a victim’s network.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,Q3 2025,Australia
